"Handle"	"Funder Identifier lt. CrossRef"	"Funder-Info lt. CrossRef"	"Funder-Phrase lt. PDF"	"keine Funder-Angabe im PDF"
"10419/194934"	"'10.13039/100000200'"	"'United States Agency for International Development'"	"I acknowledge financial support from the Harmonized Support for Agricultural Development USAID program at the International Food Policy Research Institute, as well as feedback received from Clemens Breisinger, Teunis van Rheenen, Jenna Ferguson, and other colleagues at IFPRI and from participants of a workshop on policy modeling for Iraq co- organized by ICARDA and IFPRI in Amman, Jordan, on June 10–11, 2013. "	
"10419/168017"	"'10.13039/501100007350'"	"'Consejo Nacional de Ciencia y Tecnología'"	"I gratefully acknowledge financial support from Consejo Nacional de Ciencia y Tecnología, Sistema Nacional de Investigadores, grant 41826. "	
"10419/158559"	"'10.13039/501100011011'"	"'Junta de Andalucía', 'Ministerio de Educación y Ciencia'"	"I gratefully acknowledge financial support from the Ministerio de Educación y Ciencia through projects ECO2010-21624 and ECO2011-26996, and the Junta de Andalucía through project SEJ2011-8065"	
"10419/180103"	"'10.13039/501100001870', '10.13039/501100004281'"	"'Fundacja na rzecz Nauki Polskiej', 'Narodowe Centrum Nauki'"	"I gratefully acknowledge financial support from the National Science Centre Poland, project no. UMO-2012/05/N/HS4/00194. Ewa Gałecka-Burdziak is a ‘START’ Scholarship holder granted by the Foundation for Polish Science (FNP)."	
"10419/146864"	"'10.13039/501100006087'"	"'Dirección General Asuntos del Personal Académico, Universidad Nacional Autónoma de México'"	"I will like to thanks the DGAPA-UNAM office for the support to the research project (Papiit IN306115) and the Cona- cyt`s initiative on the research project ""Highly skilled migration"", coordinated by Dr Raúl Delgado. The seminars orga- nized through them help to developed the concept of Open National of Innovation System: ONIS. "	
"10419/175640"	"'10.13039/501100005416'"	"'Norges Forskningsråd'"	"I would like acknowledge the project « The burden of obesity in Norway: morbidity, mortality, health service use and productivity loss» funded by the Norwegian Research Council through grant 250335/F20."	
"10419/194306"		"'National Academy of Social Sciences, CASS'"	"Institution: National Academy of Economics Strategy, China Academy of Social Sciences. Grant number: 2016CJYCX07 Recipient: Shaohua Yi."	
"10419/167912"	"'10.13039/501100001824'"	"'The Czech Science Foundation'"	"Institutional support to Barbora Peštová was provided by RVO:67985807. The research of Michal Pešta was supported by the Czech Science Foundation project GACR No.15-04774Y."	
"10419/206056"	"'10.13039/501100002660'"	"'Islamic Azad University'"	"Islamic Azad University, Kerman Branch approved this study and had no role in the design and conduct of the study."	
"10419/195220"		"'Business School, University of Puerto Rico, Rio Piedras.', 'Business School, University of Puerto Rico, Rio Piedras.'"	"Jairo Fu ́quene and Marta A ́lvarez were supported by the grant PII-2012, Business School, University of Puerto Rico, Rio Piedras."	
"10419/195783"	"'10.13039/501100003329', '10.13039/501100002790', '10.13039/501100003741'"	"'Ministerio de Economía y Competitividad', 'Natural Sciences and Engineering Research Council of Canada', 'Institució Catalana de Recerca i Estudis Avançats'"	"Jean-Philippe Boucher acknowledges the financial support of the Natural Sciences and Engineering Research Council of Canada. Montserrat Guillen appreciates the recognition of ICREA Academia and ECO2016-76203-C02-2-P. "	
"10419/194310"		"'National Natural Science Foundation of China (CN)'"	"Jie Mao acknowledges financial support from the National Natural Science Foundation of China (grant number: 71573038). "	
"10419/197268"	"'10.13039/100007013'"	"'F. Hoffmann-La Roche'"	"JR received funding for conducting the research, running the respective workshop, and preparing the manuscript.
JR received funding by Roche for preparing the manuscript."	
"10419/195272"	"'10.13039/501100003176'"	"'Ministerio de Educación, Cultura y Deporte'"	"Juan de Dios Tena acknowledges financial support from Ministerio de Educación y Ciencia, ECO2009-08100 and ECO2012-32401. "	
"10419/176440"	"'10.13039/100007567'"	"'City University of Hong Kong'"	"Juan Feng would like to acknowledge GRF (General Research Fund) 9042133 and City U SRG grant 7004566. Bin Gu would like to acknowledge National Natural Science Foundation of China [Grant 71328102]."	
"10419/168016"	"'10.13039/501100001659'"	"'Deutsche Forschungsgemeinschaft'"	"L.K. contributed to this work while supported by DFG grants KL 2087/1-1 and SR 7/15-1. E.S.S. is supported by a Federal State Scholarship at Kiel University. We gratefully acknowledge this support."	
"10419/158555"	"'10.13039/501100000781', '10.13039/501100000269', '10.13039/501100002749'"	"'European Research Council', 'Economic and Social Research Council', 'Belgian Federal Science Policy Office', 'FWO-Flanders', 'University of Leuven'"	"Laurens Cherchye gratefully acknowledges the European Research Council (ERC) for his Consolidator Grant 614221. Part of this research is also funded by the FWO (Research Fund-Flanders).
Ian Crawford gratefully acknowledges financial support from the ESRC Centre for the Microeconomic Analysis of Public Policy (RES-544-28-5001) at the Institute for Fiscal Studies.
Bram De Rock gratefully acknowledges the European Research Council (ERC) for his starting Grant 263707. Part of this research is also funded by BELSPO.
Frederic Vermeulen gratefully acknowledges financial support from the Research Fund KU Leuven through the Grant STRT/12/001 and from the FWO through the Grant G057314N."	
"10419/167981"	"'10.13039/501100000646'"	"'Japan Society for the Promotion of Science'"	"M.N. acknowledges support by JSPS KAKENHI Grant Number JP 13J05595. H.O. acknowledges support by JSPS KAKENHI Grant Number JP 25118006."	
"10419/196952"	"'10.13039/501100003093'"	"'Ministry of Higher Education, Malaysia'"	"Malaysian Ministry of Higher Education (MOHE) has provided the financial support for the conduct of this study."	
"10419/180093"	"'10.13039/501100005802'"	"'Autoritatea Nationala pentru Cercetare Stiintifica'"	"Maria Miruna Pochea acknowledges that this work was supported by Autoritatea Nationala pentru Cercetare Stiintifica, CNCS – UEFISCDI, project number [PN-II-RU-TE-2014-4-1827]."	
"10419/197267"	"'10.13039/100007013'"	"'F. Hoffmann-La Roche'"	"Medical writing services were provided by nspm ltd, Meggen, Switzerland, with financial support from Roche Pharma AG."	
"10419/179190"	"'10.13039/100008758'"	"'University of Melbourne'"	"Melbourne School of Psychological Sciences, The University of Melbourne."	
"10419/216685"	"'10.13039/501100001659'"	"'Deutsche Forschungsgemeinschaft'"	"Monika Jungbauer‐Gans received funding for this article from the Deutsche Forschungsgemeinschaft under grant DFG JU 414/15‐1."	
"10419/154727"		"'Generalitat de Catalunya (Spain)', 'Ministerio de Ciencia e Innovacion (Spain)'"	"Montserrat Vilalta-Bufí acknowledges the financial support from Project 2014SGR493 by the Generalitat de Catalunya (Spain) and Project ECO2012-34046 by the Ministerio de Ciencia e Innovación (Spain). "	
"10419/176448"	"'10.13039/501100001809'"	"'National Natural Science Foundation of China'"	"National Nature Sciences Foundation of China (No. 71372148)."	
"10419/197272"	"'10.13039/501100000925'"	"'National Health and Medical Research Council', 'Australian Government Research Training Program Scholarship'"	"NB received a stipend for general living costs, supported by an Australian Government Research Training Program Scholarship. EC received salary support from the National Health and Medical Research Council under an Early Career Fellowship (APP1052742). "	
"10419/179166"	"'10.13039/100000925', '10.13039/100000005', '10.13039/100000009'"	"'John Templeton Foundation', 'U.S. Department of Defense', 'Foundation for the National Institutes of Health'"	"nts: The authors gratefully acknowledge funding from the Templeton World Charity Foundation (grant no. TWCF0209), the Defense Advanced Research Projects Agency NGS2 program (grant no. D17AC00005), and the National Institutinos of Health (grant no. P30-AG034420). "	
"10419/195243"		"'CONACYT-CB'"	"Partial financial support from the CONACYT CB-2015-01-252996 is gratefully acknowledged."	
"10419/171912"	"'10.13039/501100002790', '10.13039/501100003151'"	"'NSERC', 'FRQNT'"	"Partial funding in support of this work was provided by the Natural Sciences and Engineering Research Council of Canada (Grant 04430-2014) and the Fonds de Recherche Nature et Technologie du Québec (Grant 2015-PR-183236)."	
"10419/200088"	"'10.13039/501100001831'"	"'Technische Universiteit Delft', 'Universidad Pontificia Comillas', 'Royal Institute of Technology, Sweden'"	"Pradyumna Bhagwat and Jörn C. Richstein have been awarded the Erasmus Mundus Joint Doctorate Fellowship in Sustainable Energy Technologies and Strategies (SETS) hosted by the Universidad Pontificia Comillas, Spain; the Royal Institute of Technology, Sweden; and Delft University of Technology, The Netherlands."	
"10419/200099"	"'10.13039/501100004270', '10.13039/501100000780'"	"'Royal Institute of Technology, Sweden', 'European Commission', 'Universidad Pontificia Comillas, Spain', 'Delft University of Technology, The Netherlands'"	"Pradyumna C. Bhagwat, Kaveri K. Iychettira and Jo€rn C. Richstein have been awarded the Erasmus Mundus Joint Doctorate Fellow- ship in Sustainable Energy Technologies and Strategies (SETS) hosted by the Universidad Pontificia Comillas, Spain; the Royal Institute of Technology, Sweden; and Delft University of Technol- ogy, The Netherlands."	
"10419/177265"	"'10.13039/501100002347'"	"'Bundesministerium für Bildung und Forschung'"	"Preparation of this article was funded by the German Federal Ministry of Education and Research and by the European Social Fund of the European Union (FKZ 01FP1072/73, research project ‘‘Selection and Assessment of Leaders in Academia and Business’’)."	
"10419/209749"		"'Fidelity Charitable Gift Fund'"	"Primary funding for the coordinated studies and the meta-analysis was provided by Fidelity Charitable Gift Fund. Individual studies received supplementary funding or in-kind support from the i2i (a World Bank–administered trust fund), the multidonor Knowledge for Change Program, the Programme d’appui aux collectivités territoriales (PACT), the World Bank, and Yale University (Burkina Faso study), and the International Republican Institute and the Friedrich Ebert Foundation (Uganda 1 study)."	
"10419/176407"		"'National Science Fund of China'"	"Ran thanks the financial support of National Science Fund of China (No. 71003005 and No. 71373002)."	
"10419/179143"	"'10.13039/501100001659'"	"'Deutsche Forschungsgemeinschaft'"	"Research funding by the German Research Foundation (TU 409/1-1) is gratefully acknowledged."	
"10419/150513"		"'Florida Department of Citrus'"	"Research leading to this paper supported by the Florida Department of Citrus, Bartow, FL. Florida Agricultural Market Research Center, directed by
Dr. House, contracted with the Florida Department of Citrus for conducting marketing research related citrus issues. This study was a part of the contract. At the time this paper was prepared, Dr. Salois was an employee of the Florida Department of Citrus. This paper presents the work product, findings, viewpoints, and conclusions solely by the authors.
Support for this research was provided by the Florida Department of Citrus."	
"10419/197285"		"'Risk Foundation, Health, Risk and Insurance Chair, Allianz'"	"Risk Foundation (Health, Risk and Insurance Chair, Allianz)"	
"10419/167935"	"'10.13039/100000893', '10.13039/501100003725'"	"'Simons Foundation', 'National Research Foundation of Korea'"	"S. N. Ethier is partially supported by a grant from the Simons Foundation (209632) and J. Lee is supported by the Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Science, ICT & Future Planning (No. 2013R1A1A3A04007670)."	
"10419/195003"		"'Swiss National Science Foundation (SNSF)'"	"Sarah Voitchovsky is grateful to the Swiss National Science Foundation for the financial support."	
"10419/176457"		"'Southwestern University of Finance and Economics'"	"Southwestern University of Finance and Economics."	
"10419/200101"	"'10.13039/100010663'"	"'H2020 European Research Council'"	"Stefan Pfenninger acknowledges support from the European Research Council via grant StG 2012-313553. This paper was made possible by collaboration within the Open Energy Modelling Initiative. "	
"10419/167955"	"'10.13039/501100002428'"	"'Austrian Science Fund'"	"Support from the John Templeton Foundation is gratefully acknowledged. Christian Hilbe acknowledges generous funding by the Schrödinger scholarship of the Austrian Science Fund (FWF) J3475."	
"10419/167960"	"'10.13039/501100002428', '10.13039/501100000646', '10.13039/501100001809'"	"'Austrian Science Fund', 'Japan Society for the Promotion of Science', 'National Natural Science Foundation of China'"	"T.S. was supported by the Austrian Science Fund (FWF): P27018-G11. I.O. acknowledges support by Grants-in-aid for Scientific Research from the Japan Society for the Promotion of Science 26330387. X.C. was supported by the National Natural Science Foundation of China (Grants No. 61503062 and 61203374) and the Fundamental Research Funds of the Central Universities of China."	
"10419/167645"	"'10.13039/501100003986', '10.13039/501100000269'"	"'Jacobs Foundation', 'Economic and Social Research Council'"	"Terry Ng-Knight is supported by the post-doctoral Fellow- ship program PATHWAYS to Adulthood, funded by the Jacobs Foundation. Ingrid Schoon is supported by the Wissenschaftszentrum Berlin (WZB) and Grant Number ES/J019658/1 from the British Eco- nomic and Social Research Council (ESRC) for the Centre for Learning and Life-chances in the Knowledge Economies (LLAKES, Phase II)."	
"10419/175595"		"'Deutsche Forschungsgemeinschaft and Ruprecht-Karls-Universität Heidelberg'"	"The Article Processing Charges for this paper were funded by Deutsche Forschungsgemeinschaft and Ruprecht-Karls-Universität Heidelberg."	
"10419/195598"	"'10.13039/501100004541'"	"'Ministry of Human Resource Development'"	"The author (Rakesh Kumar Meena) would like thank MHRD, India to provide senior research fellowship."	
"10419/179955"		"'Berlin-Potsdam Research Group (KFG) ""International Rule of Law - Rise or Decline?""'"	"The author benefited from a Research Fellowship at the Berlin-Potsdam Research Group (KFG) ‘International Rule of Law—Rise or Decline?’ at the Humboldt University of Berlin in 2016."	
"10419/194376"	"'10.13039/501100001691'"	"'Japan Society for the Promotion of Science', 'Chukyo University Research Fund'"	"The author is also thankful for the financial support provided by the Japan Society for the Promotion of Science (grant number: 25380377); and the Chukyo University Research Fund. The author is also grateful to the University of California, Berkeley, for providing facilities. "	
"10419/188962"	"'10.13039/501100004586'"	"'Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro'"	"The author thanks Querin Wegermann, Priscila Perillier O’Reilly de Araujo Castro, Ednalva Fernandes Costa de Moraes, Sérgio José da Silva Mecena, Francisco José Batista Sousa, Regina Faria e Lucimar Dantas, FAPERJ, and UFF for their financial support."	
"10419/195817"	"'10.13039/501100003631', '10.13039/501100000781'"	"'Economic and Social Research Council', 'European Research Council'"	"The author was supported by the Economic and Social Research Council, grant number ES/J500112/1, and the European Research Council, grant AdG 694262."	
"10419/195862"	"'10.13039/100012658'"	"'European Research Council'"	"The author was supported by the European Research Council, Grant AdG 694262."	
"10419/197046"	"'10.13039/501100004663'"	"'Taiwan Ministry of Science and Technology'"	"The author would like to thank Jo Chen for collecting the related socio-economic data and Chih-Gang Liu for compiling the data. This research is part of a research project funded by the Taiwan Ministry of Science and Technology [MOST 104-2410-H-309-011-]."	
"10419/188976"		"'European Regional Development Fund (BE) and Region of South Denmark'"	"The author would like to thank the many offshore wind farm actors contributing anonymous to this article, the Region of South Denmark for their financial assistance, the Danish Wind Industry Association in combination with offshoreenergy.dk for their administrative assistance and last but not least my former colleague, now retired, Associate Professor Svend Ole Madsen, University of Southern Denmark and former Post Doc. Salla Lutz for ideas and collaboration during research."	
"10419/209747"	"'10.13039/501100001663', '10.13039/100010661'"	"'Volkswagen Foundation', 'Horizon 2020 Framework Programme'"	"The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Parts of this paper have received funding from the European Union’s Horizon 2020 research and innovation program [Grant agreement no 693799]. Also a research grant from Volkswagen Foundation partly supported the research and authorship of this article."	
"10419/200755"	"'10.13039/501100002347'"	"'Bundesministerium für Bildung und Forschung'"	"The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This research was conducted at the “Science Policy Studies” research group at the WZB Berlin Social Science Center as part of the project “New Spaces for Collaboration between Science and Practice in the Social and Spatial Sciences,” which was funded by the Federal Ministry of Education and Research in Germany (Support Code 03FO16005E)."	
"10419/196964"		"'The ministry of education humanities and social science fund project'"	"The authors acknowledge and thank the National Science Foundation of China (NSFC 71203079) for the financial support."	
"10419/195005"		"'Ministerio de Educación y Ciencia (ES)', 'Instituto de la Mujer (ES)'"	"The authors acknowledge financial support from the Spanish Ministry of Education and Science (ECO2012-35820) and from the Spanish Institute for Women (n° 2011-0004-INV-00081). "	
"10419/214631"	"'10.13039/100010663', '10.13039/501100001663'"	"'H2020 European Research Council', 'Volkswagen Foundation'"	"The authors acknowledge funding by the ERC project ‘Political Conflict in Europe in the Shadow of the Great Recession’ (POLCON) (Project id: 338875). Swen Hutter also acknowledges funding by the Volkswagen Foundation during the final stages of the project."	
"10419/169298"		"'Economic Research Forum'"	"The authors acknowledge funding support from the Economic Research Forum (ERF)."	
"10419/195459"	"'10.13039/501100002962'"	"'Australian Research Council'"	"The authors acknowledge support from ARC Grant DP140100673."	
"10419/205929"	"'10.13039/501100004681'"	"'Higher Education Commission, Pakistan'"	"The authors acknowledge the financial support provided by Higher Education Commission (HEC) of Pakistan under National Research for Pakistani Universities (NRPU) funded [project number 1992]."	
"10419/197099"	"'10.13039/100000199'"	"'U.S. Department of Agriculture'"	"The authors acknowledge the generous support of USDA and USAID via the cooperative agreement grant TA-CA-15-008-01."	
"10419/194654"	"'10.13039/501100004681'"	"'Higher Education Commission, Pakistan'"	"The authors acknowledge the Research grant from Higher Education Commission (HEC) of Pakistan for funding this research under HEC-NRPU Research Project No. 1992. "	
"10419/155501"		"'waiver from Journal editor'"	"The authors acknowledge with thanks that this research was part-funded by The Royal Commission for the Exhibition of 1851 and conducted through the goodwill of Caterpillar Remanufacturing Limited, Rushden."	
"10419/194379"	"'10.13039/501100004963'"	"'Seventh Framework Programme', 'European Trade Union Institute'"	"The authors are grateful to the European Trade Union Institute (ETUI) for financial support towards the production of this paper. Brian Fabo acknowledges the financial support of the Eduworks Marie Curie Initial Training Network Project (PITN-GA-2013-608311) of the European Commission’s 7th Framework Programme."	
"10419/152426"		"'Young Lives Study, Oxford University'"	"The authors are grateful to Young Lives for financial support and for providing the data set. "	
"10419/167629"	"'10.13039/501100003986'"	"'Jacobs Foundation', 'Wissenschaftszentrum Berlin (WZB)', 'British Economic and Social Research Council (ESRC)'"	"The authors disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: Preparation of this manuscript was supported by a postdoctoral Fellowship award to Terry Ng-Knight from the Jacobs Foundation as well as funding for Ingrid Schoon from the Wissenschaftszentrum Berlin (WZB), and Grant Number ES/J019658/1 and ES/L008211/1 from the British Economic and Social Research Council (ESRC)."	
"10419/195478"	"'10.13039/501100003500'"	"'University of Padova'"	"The authors gratefully acknowledge financial support from Progetto di Ricerca di Ateneo (PRAT) Multi-jumps in financial asset prices: detection of systemic events, relation with news, and implications for pricing CPDA143827."	
"10419/149453"		"'Forte- The Swedish Research Council for Health, Working Life and Welfare'"	"The authors gratefully acknowledge the funding from Forte—The Swedish Research Council for Health, Working Life and Welfare (project number 2012-1367)."	
"10419/209694"	"'10.13039/501100001659'"	"'Deutsche Forschungsgemeinschaft'"	"The authors gratefully acknowledge the funding of this work by the German Research Association (Deutsche Forschungsgemeinschaft, DFG) and Collaborative Research Center CRC1026 (Sonderforschungsbereich SFB1026). A. Fügenschuh conducted part of this research under a Konrad-Zuse-Fellowship."	
"10419/200100"	"'10.13039/100007636'"	"'Deutsche Bundesstiftung Umwelt', 'Stiftung Mercator GmbH'"	"The authors gratefully acknowledge the public financing of Tekes, the Finnish Funding Agency for Innovation, for the ‘Neo- Carbon Energy’ project under the number 40101/14, and Stiftung Mercator GmbH and Deutsche Bundesstiftung Umwelt supporting the Energy Watch Group, which helped to realise parts of this study. "	
"10419/196926"		"'InterResearch'"	"The authors gratefully acknowledge the scholarship from the InterResearch, Bangladesh to carry out the research. The role of the funding body to support this research project."	
"10419/167852"	"'10.13039/100008617'"	"'Højteknologifonden'"	"The authors received support from the Danish Advanced Technology Foundation (Højteknologifonden) (Grant Number 017-2010-3)."	
"10419/200209"	"'10.13039/501100002347'"	"'Bundesministerium für Bildung und Forschung', 'CoalExit', 'Future of Fossil Fuels in the wake of greenhouse gas neutrality'"	"The authors thank Friedrich Kunz, and Alexander Weber for valuable comments and support. Furthermore, funding was pro- vided by the German Federal Ministry for Education and Research (BMBF) in the projects “CoalExit” (01LN1704A) and “Future of Fossil Fuels in the wake of greenhouse gas neutrality” (01LA1810A)."	
"10419/176425"		"'Bank of Uganda'"	"The authors wish to thank the Bank of Uganda for the financial contributions towards this work. "	
"10419/187886"		"'Ministry of Jihad-E-Agriculture of Iran (MAJ)'"	"The authors would like to acknowledge from Ministry of Jihad- E-Agriculture of Iran (MAJ) and, also, 360 of farmers in Kermanshah province whose information has made this research possible."	
"10419/194901"	"'10.13039/501100000923'"	"'Australian Research Council'"	"The authors would like to acknowledge funding from the Australian Research Council under Discovery Project Grant DP0986306."	
"10419/147779"	"'10.13039/100008687'"	"'International Fund for Agricultural Development'"	"The authors would like to acknowledge the financial assistance received from the International Fund for Agricultural Development (IFAD) that was used in carrying out this study."	
"10419/187844"	"'10.13039/501100003093'"	"'Ministry of Higher Education of Malaysia', 'The University of Malaya, Kuala Lumpur, Malaysia', 'Exploratory Research Grant Scheme (ERGS)'"	"The authors would like to acknowledge the Ministry of Higher Education of Malaysia and The University of Malaya, Kuala Lumpur, Malaysia, for the financial support under UM.C/HIR/ MOHE/ENG/06 (D000006-16001) and Exploratory Research Grant Scheme (ERGS) with reference number ERGS/1/2013/ TK07/UNITEN/01/01."	
"10419/157748"		"'DAAD-Deutscher Akademischer Austauschdienst'"	"The authors would like to appreciate the support International Graduate School (IGS) of Bremen University to support, help and advice as well as the Deutscher Akademischer Austausch Dienst (DAAD) for financial support of this research under the GSSP programme of the IGS."	
"10419/150485"		"'African Economic Research Consortium'"	"The authors would like to express their appreciation to the African Economic Research Consortium (AERC) who funded this research under research grant number RT0851. We also acknowledge the valuable contributions of resource persons and network researchers at three different AERC biennial conferences."	
"10419/195113"		"'Department of Science and Technology (DST), Government of India'"	"The authors would like to thank Department of Science and Technology (DST), Govern- ment of India for the financial support (DST/TSG/WM/2015/466-G) and E-Parisaraa, Bengaluru, India for kind supply of WEEE materials."	
"10419/206126"	"'10.13039/501100004663'"	"'Ministry of Science and Technology, Taiwan'"	"The authors would like to thank the Ministry of Science and Technology of Taiwan for financially/partially support- ing this research under Contract No. MOST 104-2410- H-216-008 -MY2 and NSC 102-2410-H-216-007."	
"10419/196986"	"'10.13039/501100000269'"	"'Economic and Social Research Council', 'Society for the Advancement of Management Studies (SAMS)', 'UK Commission for Employment Skills (UKCES)'"	"The authors would like to thank the SAMS (Society for the Advancement of Management Studies), UKCES (UK Commission for Employment Skills) and ESRC (Economic and Social Research Council), UK (Reference: ES/L002701/1) to provide the funds for their research and to fund the first author."	
"10419/157744"	"'10.13039/501100001655'"	"'Deutscher Akademischer Austauschdienst'"	"The corresponding author would like to acknowledge the support of the Ministry of Education and Vocation Training (MoEVT-Tanzania) and the German Academic Exchange Service (DAAD) under the Tanzania-Germany Postgraduate Training Programme."	
"10419/194360"		"'The Research Council of Norway'"	"The development and execution of the survey was financed by The Norwegian Ministry of Labour and Social Affairs. Data made available by the city of Oslo have been essential for the research project. This article is part of the project “Disentangling absence patterns”, financed by the Norwegian Research Council (grant # 227103/H20), and the project “Work Life Challenges—workforce management and worker involvement solutions” (grant # 202647/S20)."	
"10419/195033"	"'10.13039/501100004115'"	"'Gottfried Wilhelm Leibniz Universität Hannover'"	"The economics department of the Leibniz Universität Hannover provided a funding of 3,520 EUR. This funding body did not influence the experimental design. This funding is generally rewarded to cover implementation costs of studies in experimental economics at the Leibniz Universität Hannover."	
"10419/179082"		"'IFPRI'"	"The first author is grateful to the International Food Policy Research Institute (IFPRI), Ghana, for providing funds for data collection and allowing for the use of the data."	
"10419/196955"	"'10.13039/100007780'"	"'Indian Institute of Science'"	"The funding for this study was provided by funded by Indian Institute of Science, Bangalore. The funding covered design of the study and data collection, analysis, and interpretation of data and in writing the manuscript."	
"10419/176462"		"'university of calabar'"	"The funding is as agreed by southwestern university of finance and economics."	
"10419/194898"	"'10.13039/501100004845'"	"'Haramaya University'"	"The Haramaya University financially and logistically supported this research."	
"10419/149459"	"'10.13039/501100000923'"	"'Australian Research Council'"	"The HILDA project was initiated and is funded by the Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) and is managed by the Melbourne Institute of Applied Economic and Social Research (Melbourne Institute). The findings and views reported in this article, however, are those of the authors and should not be attributed to either FaHCSIA or the Melbourne Institute. The first author was supported by an Australian Postgraduate Award (Industry) as part of linkage project LP100200057 funded by the Australian Research Council (ARC), Victorian Health Promotion Foundation, and the Australian Human Rights Commission. He is also grateful to Mrs. Lidia Abraham for her assistance in the analysis of this research. The second author is supported by an ARC Future Fellowship (FT130101148). "	
"10419/171831"	"'10.13039/501100003631'"	"'Economic and Social Research Council'"	"The initial research upon which this paper is based was funded by the Economic and Social Research Council under grant number RES-000-22-3082."	
"10419/175598"		"'Economic and Social Research Council (GB)/Medical Research Council'"	"The Medman study was funded by the Department of Health for England and Wales and managed by a collaboration of the National Pharmaceutical Association, the Royal Pharmaceutical Society of Great Britain, the Company Chemist Association and the Co-operative Pharmacy Technical Panel, led by the Pharmaceutical Services Negotiating Committee. The research in this paper was undertaken while the lead author MT was undertaking a doctoral research fellowship jointly funded by the Economic and Social Research Council (ESRC) and the Medical Research Council (MRC). The Health Economics Research Unit (HERU), University of Aberdeen is funded by the Chief Scientific Office of the Scottish Government Health and Social Care Directorate."	
"10419/197231"		"'MITACS Accelerate Program'"	"The MITACS Accelerate Program (funding by the Federal Government and Proteocyte Diagnostic Inc) supported this research. The funders head no role in any aspect of this study."	
"10419/176539"		"'SOItmC'"	"The Paper was supported by the National Research Program 5.2. EKOSOC-LV and EEZ and Norwegian finance instrument “Research and Scholarship” project “EU policies impact to the transformations of the higher education and research system in Norway and Latvia”. The publishing fee for this paper was paid by SOItmC and DGIST IT 01 R&D program. The publishing fee for this paper was paid by SOItmC and DGIST IT 01 R&D program."	
"10419/197284"	"'10.13039/501100002347'"	"'Bundesministerium für Bildung und Forschung'"	"The PICANT trial was funded by the German Federal Ministry of Education and Research (grant number 01GY1145). "	
"10419/155499"	"'10.13039/501100004963'"	"'Seventh Framework Programme'"	"The PREMANUS project (1/9/11 to 30/6/15, grant agreement number 285541) is co-funded by the European Union under the Information and Communication Technologies (ICT) theme of the Seventh Framework Programme (FP7) for research, technological development and demonstration, alongside the following project consortium members: Loughborough University, UK
Politecnico di Milano, Italy
SKF GmbH, Germany
Centro Ricerche Fiat S.C.p.A., Italy
Holonix S.r.l, Italy
TIE Nederland B.V., Netherlands
Remedia TSR S.r.l, Italy
Sirris, Belgium
SAP AG, Germany
Epler & Lorenz, Estonia"	
"10419/194936"	"'10.13039/100010096'"	"'Secretaría de Educación Pública'"	"The present study was sponsored by the Ministry of Public Education of Mexico (Secretaría de Educación Pública), Grant 230697, and Project 23982."	
"10419/152360"	"'10.13039/501100004963'"	"'Seventh Framework Programme (BE)'"	"The present work received the financial support of the Eduworks Marie Curie Initial Training Network Project (PITN-GA- 2013-608311) of the European Commission’s 7th Framework Program. All work reported in this article has benefited from discussions and collaborations developed within the project."	
"10419/180095"		"'Directorate General for Employment, Social Affairs and Inclusion of the European Commission'"	"The process of extending and updating EUROMOD is financially supported by the Directorate General for Employment, Social Affairs and Inclusion of the European Commission [Progress grant number VS/2011/0445]."	
"10419/200087"	"'10.13039/501100001663', '10.13039/501100000269'"	"'Volkswagen Foundation', 'Economic and Social Research Council'"	"The project benefited from financial support from the Volkswagen Foundation under the project ‘‘Europe’s Global Link- ages and the Impact of the Financial Crisis: Policies for Sustainable Trade, Capital Flows, and Migration.” The support of the Economic and Social Research Council (ESRC) in funding the Systemic Risk Centre is gratefully acknowledged [Grant No. ES/K002309/1]."	
"10419/203116"		"'European Union's Horizon 2020'"	"The project has received funding from the European Union's Horizon 2020 research and innovation programme under grant agree- ment no. 691843 (SET-Nav) and the German Federal Ministry of Education and Research's research program Economics of Climate Change II, grant agreement no. 01LA1811B (FoReSee)."	
"10419/197277"	"'10.13039/501100004595'"	"'Universiti Sains Malaysia', 'Ministry of Foreign Affairs, ROC'"	"The project is supported by the Universiti Sains Malaysia’s Research University Grant (1001/PJJAUH/816268)."	
"10419/177269"	"'10.13039/501100002347'"	"'Bundesministerium für Bildung und Forschung (DE)'"	"The project underlying this article was funded by the Federal Ministry for Education and Research (Germany) under Grant Number 01PW11014. "	
"10419/180090"	"'10.13039/501100004281'"	"'Narodowe Centrum Nauki', 'National Science Centre (Poland)'"	"The project was financed using the sources of the National Science Centre (Poland) granted under decision number DEC-2013/11/D/HS4/03840."	
"10419/150515"	"'10.13039/501100003108'"	"'BZgA'"	"The project was financially supported by the The Federal Centre for Health Education (BZgA). BZgA is a specialist authority within the portfolio of the Federal Ministry of Health (BMG)."	
