	Index	handle	page_n	ne	type_ne	crossref_doi	crossref_phrase	pdf_phrase	funder	matched_funder
10	22	10419/146866	11	German Federal Ministry of Education		'10.13039/501100002347'	'Bundesministerium für Bildung und Forschung'	Financial support from the German Federal Ministry of Education and Research via the Hans-Böckler-Stiftung is gratefully acknowledged.	Y	
11	23	10419/146866	11	Hans - Böckler - Stiftung		'10.13039/501100002347'	'Bundesministerium für Bildung und Forschung'	Financial support from the German Federal Ministry of Education and Research via the Hans-Böckler-Stiftung is gratefully acknowledged.	Y	Hans Böckler Stiftung (Germany); doi:10.13039/501100007440; 95.00
12	24	10419/147212	11	JSPS KAKENHI Grant Number			'JSPS KAKENHI Grant'	This study was supported by JSPS KAKENHI Grant Number (25380346).	Y	
13	24	10419/147212	11	JSPS KAKENHI Grant Number			'JSPS KAKENHI Grant'	This study was supported by JSPS KAKENHI Grant Number (25380346).	Y	
14	30	10419/147749	14	European Commission ’s Seventh Research Framework Programme			'This paper was prepared as part of the project “Growth and sustainability policies for Europe, GRASP”, a collaborative project funded by the European commission's seventh research framework programme.'	This paper was prepared as part of the project “Growth and sustainability policies for Europe, GRASP”, a collaborative project funded by the European Commission’s Seventh Research Framework Programme, contract number 244725.	Y	
15	33	10419/147752	12	MRRC grant		'10.13039/100007790'	'Central Connecticut State University'	This study is partially funded by CCSU’s Minority Retention and Recruitment Committee (MRRC) Grant. The author would like to thank the financial support for the travel funds provided by the MRRC grant.	Y	
16	35	10419/147755	13	sociopolitical Risks research study			'Conseil Supérieur pour la Formation et la recherche Stratégique (CSFRS) Agence Française de Développement'	This study is as a result of the financial support from CSFRS (Conseil Supérieur pour la Formation et la recherche Stratégique) and AFD (Agence Française de Développement) to IFRA—Nigeria for a sociopolitical Risks research study between Nigeria and Niger.	Y	
17	36	10419/147755	13	CSFRS			'Conseil Supérieur pour la Formation et la recherche Stratégique (CSFRS) Agence Française de Développement'	This study is as a result of the financial support from CSFRS (Conseil Supérieur pour la Formation et la recherche Stratégique) and AFD (Agence Française de Développement) to IFRA—Nigeria for a sociopolitical Risks research study between Nigeria and Niger.	Y	
18	37	10419/147755	13	AFD			'Conseil Supérieur pour la Formation et la recherche Stratégique (CSFRS) Agence Française de Développement'	This study is as a result of the financial support from CSFRS (Conseil Supérieur pour la Formation et la recherche Stratégique) and AFD (Agence Française de Développement) to IFRA—Nigeria for a sociopolitical Risks research study between Nigeria and Niger.	Y	San Antonio Area Foundation (United States) (SAAFD (United States)); doi:10.13039/100001325; 90.00
19	38	10419/147769	14	Agricultural Research			'Forum For Agricultural Research in Africa'	This work was supported by Forum For Agricultural Research in Africa.	Y	Alberta Agricultural Research Institute (Canada); doi:10.13039/100009016; 90.00
20	40	10419/147773	23	Financial support			'OeNB Jubilaeumsfond', 'OeNB Jubilaeumsfond'	Financial support from the OeNB Jubilaeumsfond [number 11701], is gratefully acknowledged.	Y	
21	41	10419/147773	23	OeNB Jubilaeumsfond			'OeNB Jubilaeumsfond', 'OeNB Jubilaeumsfond'	Financial support from the OeNB Jubilaeumsfond [number 11701], is gratefully acknowledged.	Y	
22	47	10419/147821	12	Zengin Foundation for Studies on Economics			'grant-in-aid from Zengin Foundation for Studies on Economics and Finance'	This study was supported by a grant-in-aid from Zengin Foundation for Studies on Economics and Finance [grant number 1002].	Y	Zengin Foundation For Studies On Economics And Finance (Japan); doi:10.13039/501100010594; 95.00
23	50	10419/149445	27	Melbourne University Faculty Grant scheme for funding		'10.13039/501100001782', '10.13039/501100001711'	'University of Melbourne', 'Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung'	van de Ven thanks the Melbourne University Faculty Grant scheme for funding. Voitchovsky thanks the Swiss National Science Foundation for financial support. 	Y	
24	51	10419/149445	27	Swiss National Science Foundation for financial support		'10.13039/501100001782', '10.13039/501100001711'	'University of Melbourne', 'Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung'	van de Ven thanks the Melbourne University Faculty Grant scheme for funding. Voitchovsky thanks the Swiss National Science Foundation for financial support. 	Y	
25	54	10419/149448	25	McCardell Grant		'10.13039/100011561'	'Hood College'	This research was funded by a McCardell Grant from the Hood College Board of Associates. 	Y	
26	55	10419/149448	25	Hood College Board of Associates		'10.13039/100011561'	'Hood College'	This research was funded by a McCardell Grant from the Hood College Board of Associates. 	Y	
27	57	10419/149459	23	Australian Government Department of Families		'10.13039/501100000923'	'Australian Research Council'	The HILDA project was initiated and is funded by the Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) and is managed by the Melbourne Institute of Applied Economic and Social Research (Melbourne Institute). The findings and views reported in this article, however, are those of the authors and should not be attributed to either FaHCSIA or the Melbourne Institute. The first author was supported by an Australian Postgraduate Award (Industry) as part of linkage project LP100200057 funded by the Australian Research Council (ARC), Victorian Health Promotion Foundation, and the Australian Human Rights Commission. He is also grateful to Mrs. Lidia Abraham for her assistance in the analysis of this research. The second author is supported by an ARC Future Fellowship (FT130101148). 	Y	Department of Infrastructure, Regional Development and Cities (Australia) ( (Australia)); doi:10.13039/501100003527; 90.00
28	58	10419/149459	23	Melbourne Institute of Applied Economic		'10.13039/501100000923'	'Australian Research Council'	The HILDA project was initiated and is funded by the Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) and is managed by the Melbourne Institute of Applied Economic and Social Research (Melbourne Institute). The findings and views reported in this article, however, are those of the authors and should not be attributed to either FaHCSIA or the Melbourne Institute. The first author was supported by an Australian Postgraduate Award (Industry) as part of linkage project LP100200057 funded by the Australian Research Council (ARC), Victorian Health Promotion Foundation, and the Australian Human Rights Commission. He is also grateful to Mrs. Lidia Abraham for her assistance in the analysis of this research. The second author is supported by an ARC Future Fellowship (FT130101148). 	Y	Melbourne Institute, University of Melbourne (Australia) (Melbourne Institute of Applied Economic and Social Research (Australia)); doi:10.13039/501100015791; 90.00
29	59	10419/149459	23	Australian Research Council		'10.13039/501100000923'	'Australian Research Council'	The HILDA project was initiated and is funded by the Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) and is managed by the Melbourne Institute of Applied Economic and Social Research (Melbourne Institute). The findings and views reported in this article, however, are those of the authors and should not be attributed to either FaHCSIA or the Melbourne Institute. The first author was supported by an Australian Postgraduate Award (Industry) as part of linkage project LP100200057 funded by the Australian Research Council (ARC), Victorian Health Promotion Foundation, and the Australian Human Rights Commission. He is also grateful to Mrs. Lidia Abraham for her assistance in the analysis of this research. The second author is supported by an ARC Future Fellowship (FT130101148). 	Y	Australian Research Council (Australia); doi:10.13039/501100000923; 95.00
30	60	10419/149459	23	ARC Future Fellowship		'10.13039/501100000923'	'Australian Research Council'	The HILDA project was initiated and is funded by the Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) and is managed by the Melbourne Institute of Applied Economic and Social Research (Melbourne Institute). The findings and views reported in this article, however, are those of the authors and should not be attributed to either FaHCSIA or the Melbourne Institute. The first author was supported by an Australian Postgraduate Award (Industry) as part of linkage project LP100200057 funded by the Australian Research Council (ARC), Victorian Health Promotion Foundation, and the Australian Human Rights Commission. He is also grateful to Mrs. Lidia Abraham for her assistance in the analysis of this research. The second author is supported by an ARC Future Fellowship (FT130101148). 	Y	
31	61	10419/149459	23	HILDA		'10.13039/501100000923'	'Australian Research Council'	The HILDA project was initiated and is funded by the Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) and is managed by the Melbourne Institute of Applied Economic and Social Research (Melbourne Institute). The findings and views reported in this article, however, are those of the authors and should not be attributed to either FaHCSIA or the Melbourne Institute. The first author was supported by an Australian Postgraduate Award (Industry) as part of linkage project LP100200057 funded by the Australian Research Council (ARC), Victorian Health Promotion Foundation, and the Australian Human Rights Commission. He is also grateful to Mrs. Lidia Abraham for her assistance in the analysis of this research. The second author is supported by an ARC Future Fellowship (FT130101148). 	Y	Evald ja Hilda Nissin Säätiö (Finland); doi:10.13039/501100011905; 90.00
32	62	10419/149459	23	HCSIA		'10.13039/501100000923'	'Australian Research Council'	The HILDA project was initiated and is funded by the Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) and is managed by the Melbourne Institute of Applied Economic and Social Research (Melbourne Institute). The findings and views reported in this article, however, are those of the authors and should not be attributed to either FaHCSIA or the Melbourne Institute. The first author was supported by an Australian Postgraduate Award (Industry) as part of linkage project LP100200057 funded by the Australian Research Council (ARC), Victorian Health Promotion Foundation, and the Australian Human Rights Commission. He is also grateful to Mrs. Lidia Abraham for her assistance in the analysis of this research. The second author is supported by an ARC Future Fellowship (FT130101148). 	Y	Department of Families, Housing, Community Services and Indigenous Affairs (Australia) (FaHCSIA (Australia)); doi:10.13039/501100006046; 90.00
33	64	10419/149462	23	Belgian Science Policy Office		'10.13039/501100002749'	'Belgian Federal Science Policy Office'	Funding for this research was provided by the Belgian Science Policy Office (BELSPO).	Y	Belgian Federal Science Policy Office (Belgium) (Belgian Science Policy Office (Belgium)); doi:10.13039/501100002749; 95.00
34	65	10419/149462	23	BELSPO		'10.13039/501100002749'	'Belgian Federal Science Policy Office'	Funding for this research was provided by the Belgian Science Policy Office (BELSPO).	Y	Belgian Federal Science Policy Office (Belgium) (BELSPO (Belgium)); doi:10.13039/501100002749; 90.00
35	68	10419/150486	17	Canadian Institute for Health Research		'10.13039/501100000024'	'Canadian Institutes of Health Research', 'Health System Performance Research Network'	This work was supported by funding from the Health System Performance Research Network (MOHLTC Grant No. 06034) and by a grant from the Canadian Institute for Health Research (CIHR grant 84310). We would like to acknowledge Statistics Canada for granting data access and helpful comments and suggestions provided by Dr. Whitney Berta and Dr. Courtney Van Houtven.	Y	
36	71	10419/150486	17	MOHLTC		'10.13039/501100000024'	'Canadian Institutes of Health Research', 'Health System Performance Research Network'	This work was supported by funding from the Health System Performance Research Network (MOHLTC Grant No. 06034) and by a grant from the Canadian Institute for Health Research (CIHR grant 84310). We would like to acknowledge Statistics Canada for granting data access and helpful comments and suggestions provided by Dr. Whitney Berta and Dr. Courtney Van Houtven.	Y	Ontario Ministry of Health and Long-Term Care (Canada) (MOHLTC (Canada)); doi:10.13039/501100000226; 90.00
37	72	10419/150486	17	CIHR		'10.13039/501100000024'	'Canadian Institutes of Health Research', 'Health System Performance Research Network'	This work was supported by funding from the Health System Performance Research Network (MOHLTC Grant No. 06034) and by a grant from the Canadian Institute for Health Research (CIHR grant 84310). We would like to acknowledge Statistics Canada for granting data access and helpful comments and suggestions provided by Dr. Whitney Berta and Dr. Courtney Van Houtven.	Y	Canadian HIV Trials Network, Canadian Institutes of Health Research (Canada) (CTN, CIHR (Canada)); doi:10.13039/501100002879; 90.00
38	73	10419/150499	10	Sorin CRM SAS			'Sorin CRM SAS, France'	This analysis was sponsored by Sorin CRM SAS.	Y	
39	73	10419/150499	10	Sorin CRM SAS			'Sorin CRM SAS, France'	This analysis was sponsored by Sorin CRM SAS.	Y	
40	76	10419/150500	11	Cancer Registries		'10.13039/100000002'	'National Institutes of Health'	CDC’s National Program of Cancer Registries contributed funds to cover the standard RDC fees for researchers conducting analyses under approved research projects. This work was also supported by a National Cancer Institute grant (2R01CA126858). 	Y	
41	77	10419/150500	11	standard RDC fees for researchers		'10.13039/100000002'	'National Institutes of Health'	CDC’s National Program of Cancer Registries contributed funds to cover the standard RDC fees for researchers conducting analyses under approved research projects. This work was also supported by a National Cancer Institute grant (2R01CA126858). 	Y	
42	78	10419/150500	11	National Cancer Institute grant		'10.13039/100000002'	'National Institutes of Health'	CDC’s National Program of Cancer Registries contributed funds to cover the standard RDC fees for researchers conducting analyses under approved research projects. This work was also supported by a National Cancer Institute grant (2R01CA126858). 	Y	
43	82	10419/150504	9	National Institute of Mental Health		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y	National Institute of Mental Health (United States); doi:10.13039/100000025; 95.00
44	83	10419/150504	9	Duke University Center for AIDS Research		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y	Center for AIDS Research, Duke University (United States); doi:10.13039/100006967; 95.00
45	91	10419/150504	9	CFAR		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y	Center for AIDS Research, University of Washington (United States) (CFAR (United States)); doi:10.13039/100007813; 90.00
46	92	10419/150504	9	NIH		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y	Nihon University (Japan); doi:10.13039/100007683; 90.00
47	94	10419/150509	10	German Research Foundation		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	This study was funded by the German Research Foundation (DFG).	Y	
48	96	10419/150509	10	DFG		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	This study was funded by the German Research Foundation (DFG).	Y	Deutsche Forschungsgemeinschaft (Germany) (DFG (Germany)); doi:10.13039/501100001659; 90.00
49	97	10419/150510	7	TEVA Pharma SLU		'10.13039/100006259'	'Teva Pharmaceutical Industries'	This study was funded by TEVA Pharma SLU. The authors would like to acknowledge the investigators of the Escala Study Group participating in the study. Medical writing support was provided by Dynamic SL during the preparation of this paper, funded by TEVA Pharma SLU.	Y	
50	97	10419/150510	7	TEVA Pharma SLU		'10.13039/100006259'	'Teva Pharmaceutical Industries'	This study was funded by TEVA Pharma SLU. The authors would like to acknowledge the investigators of the Escala Study Group participating in the study. Medical writing support was provided by Dynamic SL during the preparation of this paper, funded by TEVA Pharma SLU.	Y	
51	98	10419/150510	7	Dynamic SL		'10.13039/100006259'	'Teva Pharmaceutical Industries'	This study was funded by TEVA Pharma SLU. The authors would like to acknowledge the investigators of the Escala Study Group participating in the study. Medical writing support was provided by Dynamic SL during the preparation of this paper, funded by TEVA Pharma SLU.	Y	
52	102	10419/150517	12	USDA National Institute of Food		'10.13039/100005825', '10.13039/501100003725'	'National Institute of Food and Agriculture', 'National Research Foundation of Korea'	This research was funded by the Agriculture and Food Research Initiative of the USDA National Institute of Food and Agriculture, grant number 2011-68001-30014. This work was also partly supported by the National Research Foundation of Korea (NRF-2014S1A3A2044459).	Y	
53	103	10419/150517	12	National Research Foundation of Korea		'10.13039/100005825', '10.13039/501100003725'	'National Institute of Food and Agriculture', 'National Research Foundation of Korea'	This research was funded by the Agriculture and Food Research Initiative of the USDA National Institute of Food and Agriculture, grant number 2011-68001-30014. This work was also partly supported by the National Research Foundation of Korea (NRF-2014S1A3A2044459).	Y	National Research Foundation of Korea (Korea, Republic of); doi:10.13039/501100003725; 90.00
54	106	10419/150518	14	Singapore Ministry of Education		'10.13039/501100001459'	'Ministry of Education - Singapore'	This research was supported by the Singapore Ministry of Education (MOE) Academic Research Fund (AcRF) Tier 1 grant.	Y	Ministry of Education - Singapore (Singapore); doi:10.13039/501100001459; 95.00
55	107	10419/150518	14	MOE		'10.13039/501100001459'	'Ministry of Education - Singapore'	This research was supported by the Singapore Ministry of Education (MOE) Academic Research Fund (AcRF) Tier 1 grant.	Y	MOE Research Center for Online Education (China) (MOE-RCOE (China)); doi:10.13039/501100014860; 90.00
56	108	10419/150520	8	Bundesministerium für Bildung		'10.13039/501100002347'	'Bundesministerium für Bildung und Forschung'	"This study has been supported by the Bundesministerium für Bildung und Forschung (BMBF).
MK, JZ and JMS, who are authors, are employees of the Leibniz Universität Hannover (Center for Health Economics Research Hannover)."	Y	Bundesministerium für Bildung und Frauen (Austria); doi:10.13039/501100006603; 90.00
57	110	10419/150520	8	BMBF		'10.13039/501100002347'	'Bundesministerium für Bildung und Forschung'	"This study has been supported by the Bundesministerium für Bildung und Forschung (BMBF).
MK, JZ and JMS, who are authors, are employees of the Leibniz Universität Hannover (Center for Health Economics Research Hannover)."	Y	Bundesministerium für Bildung und Forschung (Germany) (BMBF (Germany)); doi:10.13039/501100002347; 90.00
58	111	10419/150521	9	Regional Research Funds Western Norway for financial support			'Regional Research Funds Western Norway'	Finally, we would like to express our thanks to the Regional Research Funds Western Norway for financial support.	Y	
59	115	10419/152360	23	Eduworks Marie Curie Initial Training Network Project		'10.13039/501100004963'	'Seventh Framework Programme (BE)'	The present work received the financial support of the Eduworks Marie Curie Initial Training Network Project (PITN-GA- 2013-608311) of the European Commission’s 7th Framework Program. All work reported in this article has benefited from discussions and collaborations developed within the project.	Y	
60	116	10419/152360	23	European Commission ’s 7th Framework Program		'10.13039/501100004963'	'Seventh Framework Programme (BE)'	The present work received the financial support of the Eduworks Marie Curie Initial Training Network Project (PITN-GA- 2013-608311) of the European Commission’s 7th Framework Program. All work reported in this article has benefited from discussions and collaborations developed within the project.	Y	
61	118	10419/152365	30	National Natural Science Foundation of China		'10.13039/501100001809'	'National Natural Science Foundation of China (CN)'	"We would like to thank www.xmrc.com for providing the data, the editor and two anonymous referees for helpful comments. This research is supported by the National Natural Science Foundation of China through Grant No. 71203188, titled ""Impacts of Hukou, Education and Wage on Job Search and Match: Evidence Based on Online Job Board Microdata""."	Y	National Natural Science Foundation of China (China); doi:10.13039/501100001809; 95.00
62	120	10419/152365	30	Job Search		'10.13039/501100001809'	'National Natural Science Foundation of China (CN)'	"We would like to thank www.xmrc.com for providing the data, the editor and two anonymous referees for helpful comments. This research is supported by the National Natural Science Foundation of China through Grant No. 71203188, titled ""Impacts of Hukou, Education and Wage on Job Search and Match: Evidence Based on Online Job Board Microdata""."	Y	
63	121	10419/152365	30	Online Job Board Microdata		'10.13039/501100001809'	'National Natural Science Foundation of China (CN)'	"We would like to thank www.xmrc.com for providing the data, the editor and two anonymous referees for helpful comments. This research is supported by the National Natural Science Foundation of China through Grant No. 71203188, titled ""Impacts of Hukou, Education and Wage on Job Search and Match: Evidence Based on Online Job Board Microdata""."	Y	
64	124	10419/152428	22	World Bank ’s Gender Action Plan		'10.13039/100004421'	'World Bank Group'	We thank the World Bank’s Gender Action Plan, TFESSD, and PSIA trust funds for funding this project. 	Y	
65	125	10419/152428	22	PSIA		'10.13039/100004421'	'World Bank Group'	We thank the World Bank’s Gender Action Plan, TFESSD, and PSIA trust funds for funding this project. 	Y	
66	126	10419/154724	23	JSPS KAKENHI Grant Numbers			'JSPS KAKENHI'	"This research is supported by JSPS KAKENHI Grant Numbers 23730235, 15K17072 (PI: Ayako Kondo), and 24330074
(PI: Ryo Kambayashi)."	Y	
67	126	10419/154724	23	JSPS KAKENHI Grant Numbers			'JSPS KAKENHI'	"This research is supported by JSPS KAKENHI Grant Numbers 23730235, 15K17072 (PI: Ayako Kondo), and 24330074
(PI: Ryo Kambayashi)."	Y	
68	134	10419/154735	22	2014 - SGR-1414		'10.13039/501100003030'	'Agència de Gestió d’Ajuts Universitaris i de Recerca', 'La Caixa Foundation', 'Spanish Ministry of the Economy and Competitiveness'	 Cardoso acknowledges the support of the Spanish Ministry of the Economy and Competitiveness (grant ECO2012-38460 and the Severo Ochoa Programme for Centres of Excellence in R&D SEV-2011-0075) and the Generalitat de Catalunya, grant 2014-SGR-1414. Loviglio acknowledges the support of La Caixa Foundation. The authors declare that they have no conflict of interest.	Y	
69	135	10419/154735	22	La Caixa Foundation		'10.13039/501100003030'	'Agència de Gestió d’Ajuts Universitaris i de Recerca', 'La Caixa Foundation', 'Spanish Ministry of the Economy and Competitiveness'	 Cardoso acknowledges the support of the Spanish Ministry of the Economy and Competitiveness (grant ECO2012-38460 and the Severo Ochoa Programme for Centres of Excellence in R&D SEV-2011-0075) and the Generalitat de Catalunya, grant 2014-SGR-1414. Loviglio acknowledges the support of La Caixa Foundation. The authors declare that they have no conflict of interest.	Y	“la Caixa” Foundation (Spain); doi:10.13039/100010434; 95.00
70	139	10419/155499	16	European Union		'10.13039/501100004963'	'Seventh Framework Programme'	"The PREMANUS project (1/9/11 to 30/6/15, grant agreement number 285541) is co-funded by the European Union under the Information and Communication Technologies (ICT) theme of the Seventh Framework Programme (FP7) for research, technological development and demonstration, alongside the following project consortium members: Loughborough University, UK
Politecnico di Milano, Italy
SKF GmbH, Germany
Centro Ricerche Fiat S.C.p.A., Italy
Holonix S.r.l, Italy
TIE Nederland B.V., Netherlands
Remedia TSR S.r.l, Italy
Sirris, Belgium
SAP AG, Germany
Epler & Lorenz, Estonia"	Y	Delegation of the European Union to Pakistan (Europe); doi:10.13039/501100014126; 90.00
71	140	10419/155499	16	Information and Communication Technologies		'10.13039/501100004963'	'Seventh Framework Programme'	"The PREMANUS project (1/9/11 to 30/6/15, grant agreement number 285541) is co-funded by the European Union under the Information and Communication Technologies (ICT) theme of the Seventh Framework Programme (FP7) for research, technological development and demonstration, alongside the following project consortium members: Loughborough University, UK
Politecnico di Milano, Italy
SKF GmbH, Germany
Centro Ricerche Fiat S.C.p.A., Italy
Holonix S.r.l, Italy
TIE Nederland B.V., Netherlands
Remedia TSR S.r.l, Italy
Sirris, Belgium
SAP AG, Germany
Epler & Lorenz, Estonia"	Y	FP7 Information and Communication Technologies (Belgium); doi:10.13039/100011273; 95.00
72	143	10419/155499	16	PREMANUS		'10.13039/501100004963'	'Seventh Framework Programme'	"The PREMANUS project (1/9/11 to 30/6/15, grant agreement number 285541) is co-funded by the European Union under the Information and Communication Technologies (ICT) theme of the Seventh Framework Programme (FP7) for research, technological development and demonstration, alongside the following project consortium members: Loughborough University, UK
Politecnico di Milano, Italy
SKF GmbH, Germany
Centro Ricerche Fiat S.C.p.A., Italy
Holonix S.r.l, Italy
TIE Nederland B.V., Netherlands
Remedia TSR S.r.l, Italy
Sirris, Belgium
SAP AG, Germany
Epler & Lorenz, Estonia"	Y	
73	144	10419/155499	16	ICT		'10.13039/501100004963'	'Seventh Framework Programme'	"The PREMANUS project (1/9/11 to 30/6/15, grant agreement number 285541) is co-funded by the European Union under the Information and Communication Technologies (ICT) theme of the Seventh Framework Programme (FP7) for research, technological development and demonstration, alongside the following project consortium members: Loughborough University, UK
Politecnico di Milano, Italy
SKF GmbH, Germany
Centro Ricerche Fiat S.C.p.A., Italy
Holonix S.r.l, Italy
TIE Nederland B.V., Netherlands
Remedia TSR S.r.l, Italy
Sirris, Belgium
SAP AG, Germany
Epler & Lorenz, Estonia"	Y	FP7 Information and Communication Technologies (Belgium) (ICT (Belgium)); doi:10.13039/100011273; 90.00
74	145	10419/155499	16	SKF		'10.13039/501100004963'	'Seventh Framework Programme'	"The PREMANUS project (1/9/11 to 30/6/15, grant agreement number 285541) is co-funded by the European Union under the Information and Communication Technologies (ICT) theme of the Seventh Framework Programme (FP7) for research, technological development and demonstration, alongside the following project consortium members: Loughborough University, UK
Politecnico di Milano, Italy
SKF GmbH, Germany
Centro Ricerche Fiat S.C.p.A., Italy
Holonix S.r.l, Italy
TIE Nederland B.V., Netherlands
Remedia TSR S.r.l, Italy
Sirris, Belgium
SAP AG, Germany
Epler & Lorenz, Estonia"	Y	Stiftung für klinische Forschung zur Förderung der oralen Gesundheit (Switzerland) (SKF (Switzerland)); doi:10.13039/501100009584; 90.00
