	handle	page_n	ne	type_ne	crossref_doi	crossref_phrase	pdf_phrase	funder
33	10419/147752	12	MRRC grant		'10.13039/100007790'	'Central Connecticut State University'	This study is partially funded by CCSU’s Minority Retention and Recruitment Committee (MRRC) Grant. The author would like to thank the financial support for the travel funds provided by the MRRC grant.	Y
34	10419/147752	12	MRRC		'10.13039/100007790'	'Central Connecticut State University'	This study is partially funded by CCSU’s Minority Retention and Recruitment Committee (MRRC) Grant. The author would like to thank the financial support for the travel funds provided by the MRRC grant.	Y
35	10419/147755	13	sociopolitical Risks research study			'Conseil Supérieur pour la Formation et la recherche Stratégique (CSFRS) Agence Française de Développement'	This study is as a result of the financial support from CSFRS (Conseil Supérieur pour la Formation et la recherche Stratégique) and AFD (Agence Française de Développement) to IFRA—Nigeria for a sociopolitical Risks research study between Nigeria and Niger.	Y
36	10419/147755	13	CSFRS			'Conseil Supérieur pour la Formation et la recherche Stratégique (CSFRS) Agence Française de Développement'	This study is as a result of the financial support from CSFRS (Conseil Supérieur pour la Formation et la recherche Stratégique) and AFD (Agence Française de Développement) to IFRA—Nigeria for a sociopolitical Risks research study between Nigeria and Niger.	Y
37	10419/147755	13	AFD			'Conseil Supérieur pour la Formation et la recherche Stratégique (CSFRS) Agence Française de Développement'	This study is as a result of the financial support from CSFRS (Conseil Supérieur pour la Formation et la recherche Stratégique) and AFD (Agence Française de Développement) to IFRA—Nigeria for a sociopolitical Risks research study between Nigeria and Niger.	Y
38	10419/147769	14	Agricultural Research			'Forum For Agricultural Research in Africa'	This work was supported by Forum For Agricultural Research in Africa.	Y
39	10419/147769	14	FARA			'Forum For Agricultural Research in Africa'	This work was supported by Forum For Agricultural Research in Africa.	Y
40	10419/147773	23	Financial support			'OeNB Jubilaeumsfond', 'OeNB Jubilaeumsfond'	Financial support from the OeNB Jubilaeumsfond [number 11701], is gratefully acknowledged.	Y
41	10419/147773	23	OeNB Jubilaeumsfond			'OeNB Jubilaeumsfond', 'OeNB Jubilaeumsfond'	Financial support from the OeNB Jubilaeumsfond [number 11701], is gratefully acknowledged.	Y
42	10419/147779	13	IFAD		'10.13039/100008687'	'International Fund for Agricultural Development'	The authors would like to acknowledge the financial assistance received from the International Fund for Agricultural Development (IFAD) that was used in carrying out this study.	Y
43	10419/147814	13	Scientific Research			'The Grants-in-Aid for Scientific Research'	This work was supported by the Grants-in-Aid for Scientific Research [grant number 22530238], [grant number 25380320].	Y
44	10419/147814	13	grant No.22530238			'The Grants-in-Aid for Scientific Research'	This work was supported by the Grants-in-Aid for Scientific Research [grant number 22530238], [grant number 25380320].	Y
45	10419/147814	13	grant No.25380320			'The Grants-in-Aid for Scientific Research'	This work was supported by the Grants-in-Aid for Scientific Research [grant number 22530238], [grant number 25380320].	Y
46	10419/147821	12	CRA ratings			'grant-in-aid from Zengin Foundation for Studies on Economics and Finance'	This study was supported by a grant-in-aid from Zengin Foundation for Studies on Economics and Finance [grant number 1002].	Y
47	10419/147821	12	Zengin Foundation for Studies on Economics			'grant-in-aid from Zengin Foundation for Studies on Economics and Finance'	This study was supported by a grant-in-aid from Zengin Foundation for Studies on Economics and Finance [grant number 1002].	Y
48	10419/147821	12	CRA			'grant-in-aid from Zengin Foundation for Studies on Economics and Finance'	This study was supported by a grant-in-aid from Zengin Foundation for Studies on Economics and Finance [grant number 1002].	Y
49	10419/147821	12	grant No.1002			'grant-in-aid from Zengin Foundation for Studies on Economics and Finance'	This study was supported by a grant-in-aid from Zengin Foundation for Studies on Economics and Finance [grant number 1002].	Y
50	10419/149445	27	Melbourne University Faculty Grant scheme for funding		'10.13039/501100001782', '10.13039/501100001711'	'University of Melbourne', 'Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung'	van de Ven thanks the Melbourne University Faculty Grant scheme for funding. Voitchovsky thanks the Swiss National Science Foundation for financial support. 	Y
51	10419/149445	27	Swiss National Science Foundation for financial support		'10.13039/501100001782', '10.13039/501100001711'	'University of Melbourne', 'Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung'	van de Ven thanks the Melbourne University Faculty Grant scheme for funding. Voitchovsky thanks the Swiss National Science Foundation for financial support. 	Y
52	10419/149445	27	University of Chicago Press		'10.13039/501100001782', '10.13039/501100001711'	'University of Melbourne', 'Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung'	van de Ven thanks the Melbourne University Faculty Grant scheme for funding. Voitchovsky thanks the Swiss National Science Foundation for financial support. 	Y
53	10419/149447	21	Florida International University		'10.13039/100007681'	'Florida International University (US)'	This study was partially funded by Florida International University, Dissertation Year Fellowship.	Y
54	10419/149448	25	McCardell Grant		'10.13039/100011561'	'Hood College'	This research was funded by a McCardell Grant from the Hood College Board of Associates. 	Y
55	10419/149448	25	Hood College Board of Associates		'10.13039/100011561'	'Hood College'	This research was funded by a McCardell Grant from the Hood College Board of Associates. 	Y
56	10419/149451	17	Adjustment and Inequality ” research programme			'NZ Foundation for Research, Science and Technology.'	 The project was originally funded as part of Motu’s “Understanding Adjustment and Inequality” research programme, which had core funding from the Foundation for Research, Science and Technology. Any views expressed are the sole responsibility of the authors and do not purport to represent those of Motu, the Free University of Bozen-Bolzano, or Statistics New Zealand.	Y
57	10419/149459	23	Australian Government Department of Families		'10.13039/501100000923'	'Australian Research Council'	The HILDA project was initiated and is funded by the Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) and is managed by the Melbourne Institute of Applied Economic and Social Research (Melbourne Institute). The findings and views reported in this article, however, are those of the authors and should not be attributed to either FaHCSIA or the Melbourne Institute. The first author was supported by an Australian Postgraduate Award (Industry) as part of linkage project LP100200057 funded by the Australian Research Council (ARC), Victorian Health Promotion Foundation, and the Australian Human Rights Commission. He is also grateful to Mrs. Lidia Abraham for her assistance in the analysis of this research. The second author is supported by an ARC Future Fellowship (FT130101148). 	Y
58	10419/149459	23	Melbourne Institute of Applied Economic		'10.13039/501100000923'	'Australian Research Council'	The HILDA project was initiated and is funded by the Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) and is managed by the Melbourne Institute of Applied Economic and Social Research (Melbourne Institute). The findings and views reported in this article, however, are those of the authors and should not be attributed to either FaHCSIA or the Melbourne Institute. The first author was supported by an Australian Postgraduate Award (Industry) as part of linkage project LP100200057 funded by the Australian Research Council (ARC), Victorian Health Promotion Foundation, and the Australian Human Rights Commission. He is also grateful to Mrs. Lidia Abraham for her assistance in the analysis of this research. The second author is supported by an ARC Future Fellowship (FT130101148). 	Y
59	10419/149459	23	Australian Research Council		'10.13039/501100000923'	'Australian Research Council'	The HILDA project was initiated and is funded by the Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) and is managed by the Melbourne Institute of Applied Economic and Social Research (Melbourne Institute). The findings and views reported in this article, however, are those of the authors and should not be attributed to either FaHCSIA or the Melbourne Institute. The first author was supported by an Australian Postgraduate Award (Industry) as part of linkage project LP100200057 funded by the Australian Research Council (ARC), Victorian Health Promotion Foundation, and the Australian Human Rights Commission. He is also grateful to Mrs. Lidia Abraham for her assistance in the analysis of this research. The second author is supported by an ARC Future Fellowship (FT130101148). 	Y
60	10419/149459	23	ARC Future Fellowship		'10.13039/501100000923'	'Australian Research Council'	The HILDA project was initiated and is funded by the Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) and is managed by the Melbourne Institute of Applied Economic and Social Research (Melbourne Institute). The findings and views reported in this article, however, are those of the authors and should not be attributed to either FaHCSIA or the Melbourne Institute. The first author was supported by an Australian Postgraduate Award (Industry) as part of linkage project LP100200057 funded by the Australian Research Council (ARC), Victorian Health Promotion Foundation, and the Australian Human Rights Commission. He is also grateful to Mrs. Lidia Abraham for her assistance in the analysis of this research. The second author is supported by an ARC Future Fellowship (FT130101148). 	Y
61	10419/149459	23	HILDA		'10.13039/501100000923'	'Australian Research Council'	The HILDA project was initiated and is funded by the Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) and is managed by the Melbourne Institute of Applied Economic and Social Research (Melbourne Institute). The findings and views reported in this article, however, are those of the authors and should not be attributed to either FaHCSIA or the Melbourne Institute. The first author was supported by an Australian Postgraduate Award (Industry) as part of linkage project LP100200057 funded by the Australian Research Council (ARC), Victorian Health Promotion Foundation, and the Australian Human Rights Commission. He is also grateful to Mrs. Lidia Abraham for her assistance in the analysis of this research. The second author is supported by an ARC Future Fellowship (FT130101148). 	Y
62	10419/149459	23	HCSIA		'10.13039/501100000923'	'Australian Research Council'	The HILDA project was initiated and is funded by the Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) and is managed by the Melbourne Institute of Applied Economic and Social Research (Melbourne Institute). The findings and views reported in this article, however, are those of the authors and should not be attributed to either FaHCSIA or the Melbourne Institute. The first author was supported by an Australian Postgraduate Award (Industry) as part of linkage project LP100200057 funded by the Australian Research Council (ARC), Victorian Health Promotion Foundation, and the Australian Human Rights Commission. He is also grateful to Mrs. Lidia Abraham for her assistance in the analysis of this research. The second author is supported by an ARC Future Fellowship (FT130101148). 	Y
63	10419/149459	23	ARC		'10.13039/501100000923'	'Australian Research Council'	The HILDA project was initiated and is funded by the Australian Government Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) and is managed by the Melbourne Institute of Applied Economic and Social Research (Melbourne Institute). The findings and views reported in this article, however, are those of the authors and should not be attributed to either FaHCSIA or the Melbourne Institute. The first author was supported by an Australian Postgraduate Award (Industry) as part of linkage project LP100200057 funded by the Australian Research Council (ARC), Victorian Health Promotion Foundation, and the Australian Human Rights Commission. He is also grateful to Mrs. Lidia Abraham for her assistance in the analysis of this research. The second author is supported by an ARC Future Fellowship (FT130101148). 	Y
64	10419/149462	23	Belgian Science Policy Office		'10.13039/501100002749'	'Belgian Federal Science Policy Office'	Funding for this research was provided by the Belgian Science Policy Office (BELSPO).	Y
65	10419/149462	23	BELSPO		'10.13039/501100002749'	'Belgian Federal Science Policy Office'	Funding for this research was provided by the Belgian Science Policy Office (BELSPO).	Y
66	10419/150480	6	Sucampo Pharma Europe		'10.13039/100008680'	'Sucampo Pharmaceuticals'	Access to data and funding was provided by Sucampo Pharma Europe. SV disclosed that he became an employee of GlaxoSmithKline after completion of this study. AJH is an employee of BresMed, which acted as a consultant to Sucampo Pharma Europe for this study.	Y
67	10419/150486	17	17 of 18 Abbreviations		'10.13039/501100000024'	'Canadian Institutes of Health Research', 'Health System Performance Research Network'	This work was supported by funding from the Health System Performance Research Network (MOHLTC Grant No. 06034) and by a grant from the Canadian Institute for Health Research (CIHR grant 84310). We would like to acknowledge Statistics Canada for granting data access and helpful comments and suggestions provided by Dr. Whitney Berta and Dr. Courtney Van Houtven.	Y
68	10419/150486	17	Canadian Institute for Health Research		'10.13039/501100000024'	'Canadian Institutes of Health Research', 'Health System Performance Research Network'	This work was supported by funding from the Health System Performance Research Network (MOHLTC Grant No. 06034) and by a grant from the Canadian Institute for Health Research (CIHR grant 84310). We would like to acknowledge Statistics Canada for granting data access and helpful comments and suggestions provided by Dr. Whitney Berta and Dr. Courtney Van Houtven.	Y
69	10419/150486	17	Grant No.06034		'10.13039/501100000024'	'Canadian Institutes of Health Research', 'Health System Performance Research Network'	This work was supported by funding from the Health System Performance Research Network (MOHLTC Grant No. 06034) and by a grant from the Canadian Institute for Health Research (CIHR grant 84310). We would like to acknowledge Statistics Canada for granting data access and helpful comments and suggestions provided by Dr. Whitney Berta and Dr. Courtney Van Houtven.	Y
70	10419/150486	17	grant 84310		'10.13039/501100000024'	'Canadian Institutes of Health Research', 'Health System Performance Research Network'	This work was supported by funding from the Health System Performance Research Network (MOHLTC Grant No. 06034) and by a grant from the Canadian Institute for Health Research (CIHR grant 84310). We would like to acknowledge Statistics Canada for granting data access and helpful comments and suggestions provided by Dr. Whitney Berta and Dr. Courtney Van Houtven.	Y
71	10419/150486	17	MOHLTC		'10.13039/501100000024'	'Canadian Institutes of Health Research', 'Health System Performance Research Network'	This work was supported by funding from the Health System Performance Research Network (MOHLTC Grant No. 06034) and by a grant from the Canadian Institute for Health Research (CIHR grant 84310). We would like to acknowledge Statistics Canada for granting data access and helpful comments and suggestions provided by Dr. Whitney Berta and Dr. Courtney Van Houtven.	Y
72	10419/150486	17	CIHR		'10.13039/501100000024'	'Canadian Institutes of Health Research', 'Health System Performance Research Network'	This work was supported by funding from the Health System Performance Research Network (MOHLTC Grant No. 06034) and by a grant from the Canadian Institute for Health Research (CIHR grant 84310). We would like to acknowledge Statistics Canada for granting data access and helpful comments and suggestions provided by Dr. Whitney Berta and Dr. Courtney Van Houtven.	Y
73	10419/150499	10	Sorin CRM SAS			'Sorin CRM SAS, France'	This analysis was sponsored by Sorin CRM SAS.	Y
74	10419/150499	10	CRM			'Sorin CRM SAS, France'	This analysis was sponsored by Sorin CRM SAS.	Y
75	10419/150499	10	SAS			'Sorin CRM SAS, France'	This analysis was sponsored by Sorin CRM SAS.	Y
76	10419/150500	11	Cancer Registries		'10.13039/100000002'	'National Institutes of Health'	CDC’s National Program of Cancer Registries contributed funds to cover the standard RDC fees for researchers conducting analyses under approved research projects. This work was also supported by a National Cancer Institute grant (2R01CA126858). 	Y
77	10419/150500	11	standard RDC fees for researchers		'10.13039/100000002'	'National Institutes of Health'	CDC’s National Program of Cancer Registries contributed funds to cover the standard RDC fees for researchers conducting analyses under approved research projects. This work was also supported by a National Cancer Institute grant (2R01CA126858). 	Y
78	10419/150500	11	National Cancer Institute grant		'10.13039/100000002'	'National Institutes of Health'	CDC’s National Program of Cancer Registries contributed funds to cover the standard RDC fees for researchers conducting analyses under approved research projects. This work was also supported by a National Cancer Institute grant (2R01CA126858). 	Y
79	10419/150500	11	RDC		'10.13039/100000002'	'National Institutes of Health'	CDC’s National Program of Cancer Registries contributed funds to cover the standard RDC fees for researchers conducting analyses under approved research projects. This work was also supported by a National Cancer Institute grant (2R01CA126858). 	Y
80	10419/150504	9	HIV testing		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y
81	10419/150504	9	Grant Number R21		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y
82	10419/150504	9	National Institute of Mental Health		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y
83	10419/150504	9	Duke University Center for AIDS Research		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y
84	10419/150504	9	Andrew Weinhold for assistance		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y
85	10419/150504	9	Elizabeth Mbuya and Beatrice Mandao for study implementation		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y
86	10419/150504	9	Kilimanjaro Clinical Research Institute for administrative support		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y
87	10419/150504	9	WTA		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y
88	10419/150504	9	HIV		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y
89	10419/150504	9	Grant No.R21		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y
90	10419/150504	9	AIDS		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y
91	10419/150504	9	CFAR		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y
92	10419/150504	9	NIH		'10.13039/100000025', '10.13039/100000002'	'National Institute of Mental Health', 'National Institutes of Health'	This publication was made possible by Grant Number R21 MH096631 from the National Institute of Mental Health, and supported by the Duke University Center for AIDS Research (CFAR), an NIH funded program (5P30 AI064518).	Y
93	10419/150509	10	IBD pathways		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	This study was funded by the German Research Foundation (DFG).	Y
94	10419/150509	10	German Research Foundation		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	This study was funded by the German Research Foundation (DFG).	Y
95	10419/150509	10	IBD		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	This study was funded by the German Research Foundation (DFG).	Y
96	10419/150509	10	DFG		'10.13039/501100001659'	'Deutsche Forschungsgemeinschaft'	This study was funded by the German Research Foundation (DFG).	Y
